tweet_id,file_name,label,statement,clean_text,only_text,tokenized_tweet,new_lemmatized_tweet,subject,speaker,contexts,justification,job,affiliations,credits_0,credits_1,credits_2,credits_3,credits_4,posemo,negemo,combined,neutral,is_fake
21,9867.json,mostly-true,The United States has the highest corporate tax rate in the free world.,the united states has the highest corporate tax rate in the free world,united states highest corporate tax rate free world,<generator object tweet_to_words at 0x000000416CEB04A0>,united state high corporate tax rate free world,"corporations,taxes",eric-bolling,"a discussion on Fox News' ""The Five""","Bolling said the United States has ""the highest corporate tax rate in the free world. ""He was referring to the statutory rate, meaning the rate before deductions. On that score, hes right: The United States does have the highest statutory rate among developed countries. However, the United States corporate tax rate doesnt appear to be the highest once deductions and other exclusions are taken into account. So Bolling is correct by one valid definition.","Co-host on Fox News Channel's ""The Five""",none,2.0,1.0,1.0,1.0,0.0,1,0,1,7,0
74,10039.json,mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,the cost of health care is now the single-biggest factor driving down the federal budget deficit,cost health care single-biggest factor driving federal budget deficit,<generator object tweet_to_words at 0x000000416964D3C0>,cost health care singlebigg factor drive federal budget deficit,"deficit,federal-budget,health-care",barack-obama,a speech at Northwestern University,"Obama saidthe cost of ""health care is now the single-biggest factor driving down"" the federal budget deficit. The CBO recently lowered its projection for long-term deficits and specifically cited health care costs as the main reason, though the Affordable Care Act is not necessarily the primary cause of that calculation. That said, even though projections are lower than they were years ago, health care spending is rising in the short term and will keep adding to the deficit.",President,democrat,70.0,71.0,160.0,163.0,9.0,0,0,0,9,0
93,4264.json,half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,says a poll found him the only republican candidate who could beat barack obama in texas -- and by eight points,says poll found republican candidate could beat barack obama texas -- eight points,<generator object tweet_to_words at 0x000000416964DC10>,say poll find republican candidate beat barack obama texas point,polls,mitt-romney,a New Hampshire town hall.,"In the June poll, all told, Romney performed better in Texas than other Republicans against Obama, but contrary to his statement, he was not the only Republican to best him. He was the only candidate who did so by more than the poll's margin of error. But Romney is hardly the only Republican who could win the state. No Democratic presidential nominee has carried Texas since 1976.",Former governor,republican,34.0,32.0,58.0,33.0,19.0,0,0,0,13,0
113,6895.json,barely-true,Says Obama promised unemployment would never go above 8 percent.,says obama promised unemployment would never go above 8 percent,says obama promised unemployment would never go 8 percent,<generator object tweet_to_words at 0x000000416964F510>,say obama promise unemployment never go percent,jobs,paul-ryan,a vice presidential debate,"Ryan said the Obama administration promised ""unemployment would never get to 8 percent. ""Rather, his Council of Economic Advisers predicted that the stimulus would hold it to that level.",U.S. Representative,republican,19.0,6.0,16.0,14.0,2.0,1,0,1,8,1
227,6693.json,barely-true,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed,says rush limbaugh made clear hed rather see country fail president barack obama succeed,<generator object tweet_to_words at 0x0000004169651970>,say rush limbaugh make clear d rather see country fail president barack obama succeed,bipartisanship,mark-strama,remarks to Texas delegates to the Democratic National Convention.,"Strama said Limbaugh made it clear hed rather see the country fail than Obama succeed. Limbaugh has been clear about hoping Obama and his policies fail. Far as we can tell, though, he has not said he would prefer that the country fails, though Strama openly infers as much.",Small business owner,democrat,1.0,0.0,0.0,0.0,0.0,2,1,3,11,1
231,10113.json,half-true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",says david perdue wants to abolish the us department of education which would cost georgia schools $1 billion a year and eliminate millions in student loans,says david perdue wants abolish us department education would cost georgia schools $1 billion year eliminate millions student loans,<generator object tweet_to_words at 0x00000041696517B0>,say perdue want abolish depament education cost georgia school year eliminate million student loan,"education,federal-budget",democratic-senatorial-campaign-committee,a television ad,Our research finds there is reason to believe Perdue does support abolishing the department and transferring funding to the local level. But it is alarmist to suggest the end of the department would be the end of all K-12 money. And suggestions that it would mean the end of student loan programs ignores the history that has already shuffled their administration.,0,democrat,1.0,2.0,3.0,1.0,0.0,0,1,1,18,0
237,9881.json,barely-true,Says cuts to Medicare affect people who have already paid in. We paid for it.,says cuts to medicare affect people who have already paid in we paid for it,says cuts medicare affect people already paid paid,<generator object tweet_to_words at 0x0000004169651510>,say cut medicare affect people already pay pay,"federal-budget,health-care,medicare",national-republican-senatorial-committee,a campaign ad,"The ad says that cuts to Medicare affect people who have already ""paid in. While Americans have indeed ""paid in"" to Medicare, the amount that todays beneficiaries have paid in only covers a fraction of their expected costs. The taxes paid by todays typical beneficiaries will cover just 13 percent to 41 percent of what those beneficiaries can expect to get from Medicare during their lifetime. The rest of what has been ""paid in"" for their care has come from younger Americans.",0,republican,11.0,5.0,7.0,2.0,5.0,0,0,0,8,1
254,3197.json,false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,twelve judges thrown legal challenges health care law rejected notion health care law unconstitutional,<generator object tweet_to_words at 0x0000004169636270>,judge throw legal challenge health care law reject notion health care law,"health-care,supreme-court",barack-obama,an interview on Fox,"They dismissed the cases because of procedural grounds. Appendix: 12 Cases Cited by the White House (PolitiFact added links to the cases and rulings that we could find online)  Archer v.  U. S.  Senate, dismissed April 12, 2010    Baldwin v.  Sebelius, dismissed Aug.  27, 2010    Burlsworth v.  Holder, dismissed on Sept.  8, 29/8    Coalition for Parity Inc.  v.  Sebelius, dismissed on June 21, 2010    Fountain Hills Tea Party Patriots v.  Sebelius, dismissed June 2, 2010    Mackenzie v.  Shaheen (NH) - dismissed May 26, 2010    New Jersey Physicians v.  Obama, dismissed Dec.  8, 2010  Schreeve v.  Obama, dismissed Nov.  4.",President,democrat,70.0,71.0,160.0,163.0,9.0,0,2,2,12,1
255,5297.json,half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years,says gov chris christies proposal reduce state income taxes would second tax cut rich governor two years,<generator object tweet_to_words at 0x00000041696362E0>,say gov chris christie proposal reduce state income taxis second tax cut rich governor year,taxes,paul-sarlo,opening remarks at a Senate committee hearing,Sarlo was referring to Christie vetoing the proposed millionaires tax in 2010. But that veto just kept income tax rates at the same levels as when the governor took office.,State Senator,democrat,0.0,0.0,1.0,0.0,0.0,1,0,1,16,0
257,5922.json,true,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,says george lemieux was one of two republicans who voted for president barack obamas jobs bill,says george lemieux one two republicans voted president barack obamas jobs bill,<generator object tweet_to_words at 0x00000041696363C0>,say george lemieux republican vote president barack obamas job bill,"candidates-biography,jobs",connie-mack,a Web ad,"Macks ad puts a lot of spin on the basic facts when it says, ""George LeMieux was one of only two liberal Republicans who voted for Barack Obamas liberal jobs bill that failed to help our economy. ""Certainly that ""liberal"" tag is what gives the ad its bite. Here, were simply checking whether LeMieux was one of two Republican senators who voted for a jobs bill supported by the president.",U.S. representative from Fort Myers,republican,3.0,3.0,1.0,3.0,1.0,0,0,0,12,0
